url,targetNode
https://0e8dec08-b13d-41ec-88a4-0d9092c87ba4-1.azurewebsites.net/customers/support/support-details-bereavement,#cust_sup_bac1
https://0e8dec08-b13d-41ec-88a4-0d9092c87ba4-1.azurewebsites.net/customers/support/support-details-bereavement,#cust_sup_lte1
https://0e8dec08-b13d-41ec-88a4-0d9092c87ba4-1.azurewebsites.net/customers/support/support-details-bereavement,#cust_sup_lock1
https://0e8dec08-b13d-41ec-88a4-0d9092c87ba4-1.azurewebsites.net/customers/support/support-details-bereavement,#cust_sup_rtd1
https://0e8dec08-b13d-41ec-88a4-0d9092c87ba4-1.azurewebsites.net/customers/support/support-details-bereavement,#cust_sup_whtm1
https://0e8dec08-b13d-41ec-88a4-0d9092c87ba4-1.azurewebsites.net/customers/support/support-details-bereavement,#cust_sup_wtdsd1
https://abscarrosserie.be/nl/store/carrosserie-de-carrossier-bvba/,.gm-style > div:nth-child(1)
https://abscarrosserie.be/nl/store/carrosserie-de-carrossier-bvba/,.title
https://action.deloitte.com/topic/26/energy-resources-and-industrials,.SiteFooter_copyRightBox__X8vKQ > a
https://answeringservicecare.com/services/live-chat/small-business-plan/,#liberty-chat__button
https://answeringservicecare.com/services/live-chat/small-business-plan/,#liberty-chat__callout
https://answeringservicecare.com/services/live-chat/small-business-plan/,.plan-tabs-item:nth-child(2)
https://answeringservicecare.com/services/live-chat/small-business-plan/,.active-plan-tab
https://app.cision.one/sign-in,.c-login__reset
https://app2.chorusconnectiondemo.com/sign_in,label
https://app2.chorusconnectiondemo.com/sign_in,eyeicon
https://artdeco.de/collections/ultimate-fusion,#mobileSearchIcon
https://artdeco.de/collections/ultimate-fusion,".footer-menu.grid__wrapper.footer-sect > .site-footer-block-title.has-chevron[data-accordion-trigger=""""]"
https://artdeco.de/collections/ultimate-fusion,".block-menu_3BFkxw > .footer-menu.footer-sect > .site-footer-block-title.has-chevron[data-accordion-trigger=""""]"
https://artdeco.de/collections/ultimate-fusion,".block-c3a480f4-5372-45c3-92dd-a6fa4f1ee1e3 > .footer-menu.footer-sect > .site-footer-block-title.has-chevron[data-accordion-trigger=""""]"
https://artdeco.de/collections/ultimate-fusion,".block-footer-2 > .footer-menu.footer-sect > .site-footer-block-title.has-chevron[data-accordion-trigger=""""]"
https://artdeco.de/collections/ultimate-fusion,".block-footer-1 > .footer-menu.footer-sect > .site-footer-block-title.has-chevron[data-accordion-trigger=""""]"
https://asana.com/,.css-1rd7hco.e1ywq6bu0:nth-child(4)
https://asana.com/,.css-1rd7hco.e1ywq6bu0:nth-child(3)
https://asana.com/,.css-1rd7hco.e1ywq6bu0:nth-child(2)
https://asana.com/,.css-16n3d5y
https://assist.kohler.com/en/bathroom-faucets/Remove-the-Handles-for-the-Revival-Faucet,.css-8n4loo.css-11tmjw1:nth-child(3)
https://assist.kohler.com/en/bathroom-faucets/Remove-the-Handles-for-the-Revival-Faucet,.css-8n4loo.css-11tmjw1:nth-child(1)
https://beta.investsaudi.sa/ja/services/startup-saudi.html,.GridWrapper_cardContainer__s7oOa:nth-child(8) > .InfoCard_Small__dUFEv.infoCardContainer.InfoCard_infoCardContainer__v9tgj
https://beta.investsaudi.sa/ja/services/startup-saudi.html,.GridWrapper_cardContainer__s7oOa:nth-child(7) > .InfoCard_Small__dUFEv.infoCardContainer.InfoCard_infoCardContainer__v9tgj
https://beta.investsaudi.sa/ja/services/startup-saudi.html,.GridWrapper_cardContainer__s7oOa:nth-child(6) > .InfoCard_Small__dUFEv.infoCardContainer.InfoCard_infoCardContainer__v9tgj
https://beta.investsaudi.sa/ja/services/startup-saudi.html,.GridWrapper_cardContainer__s7oOa:nth-child(5) > .InfoCard_Small__dUFEv.infoCardContainer.InfoCard_infoCardContainer__v9tgj
https://beta.investsaudi.sa/ja/services/startup-saudi.html,.GridWrapper_cardContainer__s7oOa:nth-child(4) > .InfoCard_Small__dUFEv.infoCardContainer.InfoCard_infoCardContainer__v9tgj
https://beta.investsaudi.sa/ja/services/startup-saudi.html,#startupsaudi-services > .GridWrapper_gridInnerContainer__gZ\+50.GridWrapper_hasPadding__6z-d5 > .GridWrapper_gridThree__1D6bx.GridWrapper_gridContainer__-9nDH.GridWrapper_ja__zcOS9 > .GridWrapper_cardContainer__s7oOa:nth-child(3) > .InfoCard_Small__dUFEv.infoCardContainer.InfoCard_infoCardContainer__v9tgj
https://beta.investsaudi.sa/ja/services/startup-saudi.html,#startupsaudi-services > .GridWrapper_gridInnerContainer__gZ\+50.GridWrapper_hasPadding__6z-d5 > .GridWrapper_gridThree__1D6bx.GridWrapper_gridContainer__-9nDH.GridWrapper_ja__zcOS9 > .GridWrapper_cardContainer__s7oOa:nth-child(2) > .InfoCard_Small__dUFEv.infoCardContainer.InfoCard_infoCardContainer__v9tgj
https://beta.investsaudi.sa/ja/services/startup-saudi.html,#startupsaudi-services > .GridWrapper_gridInnerContainer__gZ\+50.GridWrapper_hasPadding__6z-d5 > .GridWrapper_gridThree__1D6bx.GridWrapper_gridContainer__-9nDH.GridWrapper_ja__zcOS9 > .GridWrapper_cardContainer__s7oOa:nth-child(1) > .InfoCard_Small__dUFEv.infoCardContainer.InfoCard_infoCardContainer__v9tgj
https://beta.investsaudi.sa/ja/services/startup-saudi.html,.GridWrapper_cardContainer__s7oOa:nth-child(3) > .InfoCard_Small__dUFEv.InfoCard_whiteBg__UER6D.infoCardContainer
https://beta.investsaudi.sa/ja/services/startup-saudi.html,.GridWrapper_cardContainer__s7oOa:nth-child(2) > .InfoCard_Small__dUFEv.InfoCard_whiteBg__UER6D.infoCardContainer
https://beta.investsaudi.sa/ja/services/startup-saudi.html,.GridWrapper_cardContainer__s7oOa:nth-child(1) > .InfoCard_Small__dUFEv.InfoCard_whiteBg__UER6D.infoCardContainer
https://billiardfactory.com/most-popular-pool-table-brands,.newsletter-block > .title
https://billiardfactory.com/most-popular-pool-table-brands,.footer-links.footer-block:nth-child(3) > .title
https://billiardfactory.com/most-popular-pool-table-brands,.footer-links.footer-block:nth-child(2) > .title
https://billiardfactory.com/most-popular-pool-table-brands,.footer-topic > .title
https://billiardfactory.com/most-popular-pool-table-brands,.block-popular-blogtags > .title
https://billiardfactory.com/most-popular-pool-table-brands,.block-blog-archive > .title
https://billiardfactory.com/most-popular-pool-table-brands,.blog-search-box > .title
https://blog.medel.pro/de/,.top-bar-items-wrapper > .search-btn > .label-closed.btn-label
https://blog.medel.pro/de/,.btm
https://blog.medel.pro/de/,.tag_more
